museo_id,museo_nombre,gmaps_latitud,gmaps_longitud,municipio_id,nom_mun
727,Museo de  Azcapotzalco ,31137.999999999978,-24966.000000000575,2,Azcapotzalco
1233,Museo Tezozomoc,30673.999999999778,-24693.000000000608,2,Azcapotzalco
852,Museo del Retrato Hablado (Cerrado por remodelacion),16894.999999999884,-21173.000000000287,3,Coyoacan
978,Museo Nacional de las Intervenciones,16463.999999999858,-18879.000000001157,3,Coyoacan
2205,Pabellon Nacional de la Biodiversidad. Museo interactivo y espacio de investigacion,12178.999999999718,-22343.000000000757,3,Coyoacan
507,Museo Universitario de Ciencias y Artes (MUCA) ,14095.999999999975,-22772.000000000502,3,Coyoacan
1224,Museo Universitario de Arte Contemporaneo (MUAC),12441.999999999709,-22538.000000000124,3,Coyoacan
1476,Museo del Ejercito y Fuerza Aerea ,16110.99999999972,-18518.000000000255,3,Coyoacan
396,Museo de Anatomopatologia Veterinaria Manuel H. Sarvide,13899.999999999935,-21774.000000000626,3,Coyoacan
442,Museo Anahuacalli,13269.999999999982,-18451.000000000306,3,Coyoacan
976,Museo Nacional de Culturas Populares,15987.999999999758,-20098.000000000127,3,Coyoacan
287,Museo Frida Kahlo,16500.999999999876,-20221.0000000008,3,Coyoacan
966,Museo Casa de Leon Trotsky,16765.999999999793,-19933.000000000335,3,Coyoacan
2384,Casa Fuerte del Indio Fernandez,15790.999999999754,-21395.00000000112,3,Coyoacan
789,Museo Nacional de la Acuarela Alfredo Guati Rojo,15857.999999999705,-21709.00000000131,3,Coyoacan
449,Universum Museo de las Ciencias,12135.999999999925,-22057.000000000924,3,Coyoacan
1821,Museo Miguel Hidalgo,16663.999999999745,-33896.000000000015,4,Cuajimalpa de Morelos
1820,Museo Centro Cultural Nacional Pedro Infante ,16726.999999999847,-33932.00000000007,4,Cuajimalpa de Morelos
906,Museo Bicentenario del Ex Convento del Desierto de los Leones,12302.999999999996,-35043.00000000029,4,Cuajimalpa de Morelos
1285,Museo de los Ferrocarrileros,29141.99999999987,-15704.000000000917,5,Gustavo A. Madero
732,Museo de Figuras de Cera de la Villa,29565.999999999804,-15735.00000000081,5,Gustavo A. Madero
908,Museo de Geologia y Paleontologia,31850.000000000022,-17176.00000000061,5,Gustavo A. Madero
728,Museo de la Basilica de Guadalupe,29550.000000000055,-15667.000000000542,5,Gustavo A. Madero
1706,El Museo de Historia del Mormonismo en Mexico,27489.99999999988,-12759.000000001208,5,Gustavo A. Madero
537,Planetario Luis Enrique Erro,30686.999999999996,-17982.000000000655,5,Gustavo A. Madero
2234,Museo Diablos: Una Historia Incomparable,20589.999999999975,-13750.000000000284,6,Iztacalco
2386,Planetario Katya Echazarreta,16900.000000000047,-13250.000000000739,7,Iztapalapa
910,Museo Fuego Nuevo,15798.999999999807,-13101.00000000034,7,Iztapalapa
531,Museo Comunitario de San Miguel Teotongo,15357.999999999805,-2766.0000000011564,7,Iztapalapa
1877,Museo del Servicio de Transportes Electricos,17677.999999999727,-17383.000000000946,7,Iztapalapa
2284,Museo-Observatorio Interactivo de Hundimiento y Fracturamiento (OIHFRA),17201.999999999985,-6043.000000001086,7,Iztapalapa
1535,Museo de las Culturas Pasion por Iztapalapa,16751.999999999967,-12770.000000000437,7,Iztapalapa
971,Antiguo Convento de San Juan Evangelista sede del Centro Comunitario Culhuacan,14996.99999999997,-14839.000000000624,7,Iztapalapa
547,Museo Cabeza de Juarez,19270.999999999814,-7900.000000000773,7,Iztapalapa
2256,Museo Barco Utopia,17643.99999999995,-9763.000000000942,7,Iztapalapa
535,Museo Regional Altepepialcalli,213.99999999971442,-6159.000000000959,9,Milpa Alta
730,"Museo Soumaya, Plaza Loreto",14933.999999999869,-23264.00000000035,10,Alvaro Obregon
1578,Museo Interactivo de la Guardia Nacional (Cerrado temporalmente),20294.999999999774,-25801.000000001295,10,Alvaro Obregon
2237,Museo del Axolote,16934.99999999979,-25711.00000000115,10,Alvaro Obregon
794,Museo de Arte Alvar y Carmen T. de Carrillo Gil,15925.999999999973,-23033.000000000924,10,Alvaro Obregon
855,Centro Cultural Isidro Fabela-Museo Casa del Risco,15503.999999999962,-23225.00000000076,10,Alvaro Obregon
805,Museo Casa Estudio Diego Rivera y Frida Kahlo,15955.999999999904,-23733.000000000004,10,Alvaro Obregon
2322,Museo Nacional de la Vivienda (Munavi),17065.999999999804,-22619.000000000255,10,Alvaro Obregon
963,Museo de El Carmen,15503.999999999962,-22971.000000001142,10,Alvaro Obregon
738,Museo Regional Comunitario Cuitlahuac,7770.00000000001,-4473.000000000127,11,Tlahuac
